horizon,outcome,predictor,sample_size,coverage,sample_label,coefficient_per_1sd,standard_error_hc3,ci_lower,ci_upper,p_value_exploratory,status
1,convergence,shock_magnitude,226,1.0,adequate_descriptive_sample,0.0017171763774843762,0.007027242335523494,-0.012055965510776806,0.015490318265745559,0.8069520799006655,estimated_exploratory
1,convergence,standardized_shock,226,1.0,adequate_descriptive_sample,-0.001162489361883416,0.004357612196974275,-0.009703252326545455,0.007378273602778622,0.7896446360500708,estimated_exploratory
1,convergence,log_market_cap,0,0.0,small_sample_descriptive_only,,,,,,insufficient_data
1,convergence,log_trailing_dollar_volume,226,1.0,adequate_descriptive_sample,0.004115153758415341,0.0027476416079046935,-0.001270124835501583,0.009500432352332264,0.1342101786025534,estimated_exploratory
1,convergence,volume_percentile,226,1.0,adequate_descriptive_sample,0.0034652205214511364,0.00234551306870623,-0.0011319006184810953,0.008062341661383369,0.13957307046787865,estimated_exploratory
1,convergence,abnormal_volume_ratio,226,1.0,adequate_descriptive_sample,-0.000503060618638883,0.002326831917367007,-0.0050635673747564955,0.00405744613747873,0.8288320015748469,estimated_exploratory
1,convergence,semiconductor_volatility,226,1.0,adequate_descriptive_sample,0.005404596044022009,0.0027137643324601926,8.571568987065029e-05,0.010723476398173368,0.04642050713627323,estimated_exploratory
1,convergence,market_volatility,0,0.0,small_sample_descriptive_only,,,,,,insufficient_data
1,convergence,trailing_semiconductor_return,226,1.0,adequate_descriptive_sample,-0.0066832228427764085,0.002339359464685496,-0.01126828314045288,-0.0020981625450999363,0.004278542987541903,estimated_exploratory
1,convergence,bear_regime,226,1.0,adequate_descriptive_sample,0.006745772674621404,0.0029288399862380087,0.0010053517851141194,0.012486193564128688,0.02126627912993931,estimated_exploratory
1,convergence,negative_event,226,1.0,adequate_descriptive_sample,0.0022524184825218506,0.0027642366400345997,-0.0031653857766919744,0.0076702227417356755,0.41516226542340384,estimated_exploratory
1,convergence,peer_count,226,1.0,adequate_descriptive_sample,-0.0011612452121625549,0.003362161947602894,-0.007750961539655272,0.005428471115330162,0.7298038551646411,estimated_exploratory
1,convergence,average_peer_correlation,226,1.0,adequate_descriptive_sample,0.002874738814842998,0.002802422182992331,-0.0026179077332980877,0.008367385362984084,0.30498348737323444,estimated_exploratory
1,convergence,peer_return_similarity,226,1.0,adequate_descriptive_sample,0.0030825067271807068,0.0026522942222275917,-0.002115894424789048,0.008280907879150461,0.24515264502971001,estimated_exploratory
1,convergence,peer_portfolio_coverage,226,1.0,adequate_descriptive_sample,,,,,,insufficient_data
1,peer_catchup,shock_magnitude,226,1.0,adequate_descriptive_sample,0.002410396363453761,0.0043360071425800175,-0.006088021472711504,0.010908814199619025,0.5782776426753262,estimated_exploratory
1,peer_catchup,standardized_shock,226,1.0,adequate_descriptive_sample,0.001116033408989366,0.002408356805036573,-0.00360425919080427,0.005836326008783001,0.6430774211012147,estimated_exploratory
1,peer_catchup,log_market_cap,0,0.0,small_sample_descriptive_only,,,,,,insufficient_data
1,peer_catchup,log_trailing_dollar_volume,226,1.0,adequate_descriptive_sample,0.0021185501211060873,0.0018511110397188364,-0.0015095608481273258,0.0057466610903395,0.25242674169498325,estimated_exploratory
1,peer_catchup,volume_percentile,226,1.0,adequate_descriptive_sample,0.003884220770380688,0.0024159000230171237,-0.0008508562649823621,0.008619297805743737,0.10788472766959742,estimated_exploratory
1,peer_catchup,abnormal_volume_ratio,226,1.0,adequate_descriptive_sample,0.0005414059783499141,0.0012697149612912744,-0.0019471896164126525,0.0030300015731124807,0.669816677475914,estimated_exploratory
1,peer_catchup,semiconductor_volatility,226,1.0,adequate_descriptive_sample,0.001614724280937196,0.0009919817199127382,-0.0003295241634138704,0.0035589727252882623,0.10357233889726195,estimated_exploratory
1,peer_catchup,market_volatility,0,0.0,small_sample_descriptive_only,,,,,,insufficient_data
1,peer_catchup,trailing_semiconductor_return,226,1.0,adequate_descriptive_sample,-0.0003602150958719518,0.0012329743867753372,-0.0027768004878119716,0.0020563702960680677,0.7701709288975795,estimated_exploratory
1,peer_catchup,bear_regime,226,1.0,adequate_descriptive_sample,0.00042489875776857244,0.0014065331554886833,-0.0023318555700507226,0.003181653085587868,0.7625839123638899,estimated_exploratory
1,peer_catchup,negative_event,226,1.0,adequate_descriptive_sample,-0.0006492012086414654,0.0012258578797777443,-0.0030518385031704756,0.0017534360858875446,0.5963967190594812,estimated_exploratory
1,peer_catchup,peer_count,226,1.0,adequate_descriptive_sample,-0.00011907007179345289,0.001545631469662399,-0.003148452085703468,0.0029103119421165623,0.9385944914037517,estimated_exploratory
1,peer_catchup,average_peer_correlation,226,1.0,adequate_descriptive_sample,0.0013538258055930006,0.0011293705813454212,-0.0008596998590430882,0.0035673514702290895,0.2306276421189235,estimated_exploratory
1,peer_catchup,peer_return_similarity,226,1.0,adequate_descriptive_sample,0.002094307003433107,0.0011388813929962035,-0.00013785950950225912,0.004326473516368473,0.06592756949128707,estimated_exploratory
1,peer_catchup,peer_portfolio_coverage,226,1.0,adequate_descriptive_sample,,,,,,insufficient_data
1,initiator_reversal,shock_magnitude,226,1.0,adequate_descriptive_sample,-0.000693219985969382,0.0035345497472675257,-0.007620810192178883,0.006234370220240119,0.8445109081407061,estimated_exploratory
1,initiator_reversal,standardized_shock,226,1.0,adequate_descriptive_sample,-0.0022785227708727804,0.0028577033231541866,-0.007879518362755415,0.003322472821009853,0.4252613966970873,estimated_exploratory
1,initiator_reversal,log_market_cap,0,0.0,small_sample_descriptive_only,,,,,,insufficient_data
1,initiator_reversal,log_trailing_dollar_volume,226,1.0,adequate_descriptive_sample,0.0019966036373092523,0.002061777304667457,-0.0020444056239810296,0.0060376128985995346,0.3328498465069669,estimated_exploratory
1,initiator_reversal,volume_percentile,226,1.0,adequate_descriptive_sample,-0.0004190002489295519,0.0013562874203494775,-0.0030772747454992653,0.0022392742476401613,0.7573734428408891,estimated_exploratory
1,initiator_reversal,abnormal_volume_ratio,226,1.0,adequate_descriptive_sample,-0.0010444665969887978,0.0023141670446732883,-0.005580150658757937,0.0034912174647803414,0.6517474958444768,estimated_exploratory
1,initiator_reversal,semiconductor_volatility,226,1.0,adequate_descriptive_sample,0.0037898717630848104,0.002415512258213467,-0.0009444452672286003,0.00852418879339822,0.11665439936965764,estimated_exploratory
1,initiator_reversal,market_volatility,0,0.0,small_sample_descriptive_only,,,,,,insufficient_data
1,initiator_reversal,trailing_semiconductor_return,226,1.0,adequate_descriptive_sample,-0.006323007746904456,0.0022943956187728314,-0.010819940525985698,-0.0018260749678232144,0.005854002498972408,estimated_exploratory
1,initiator_reversal,bear_regime,226,1.0,adequate_descriptive_sample,0.0063208739168528275,0.0027283859259388207,0.0009733357660867718,0.011668412067618882,0.02051963519733967,estimated_exploratory
1,initiator_reversal,negative_event,226,1.0,adequate_descriptive_sample,0.0029016196911633165,0.0026826453744326537,-0.002356268626017653,0.008159508008344286,0.2794186298208172,estimated_exploratory
1,initiator_reversal,peer_count,226,1.0,adequate_descriptive_sample,-0.001042175140369103,0.0031471607661742243,-0.007210496895628065,0.005126146614889859,0.7405329009694213,estimated_exploratory
1,initiator_reversal,average_peer_correlation,226,1.0,adequate_descriptive_sample,0.001520913009249999,0.00263757440272334,-0.003648637826632492,0.00669046384513249,0.5641872560573826,estimated_exploratory
1,initiator_reversal,peer_return_similarity,226,1.0,adequate_descriptive_sample,0.0009881997237476002,0.002464394583579063,-0.0038419249037629473,0.005818324351258148,0.6884268471403839,estimated_exploratory
1,initiator_reversal,peer_portfolio_coverage,226,1.0,adequate_descriptive_sample,,,,,,insufficient_data
3,convergence,shock_magnitude,196,1.0,adequate_descriptive_sample,-0.0007153292544073136,0.0037865850801845112,-0.008136899635965669,0.006706241127151041,0.8501622242514992,estimated_exploratory
3,convergence,standardized_shock,196,1.0,adequate_descriptive_sample,-0.0040102443142149636,0.002951106518784059,-0.009794306805573095,0.0017738181771431681,0.17417981823647632,estimated_exploratory
3,convergence,log_market_cap,0,0.0,small_sample_descriptive_only,,,,,,insufficient_data
3,convergence,log_trailing_dollar_volume,196,1.0,adequate_descriptive_sample,0.0017394514618519611,0.003986971284839404,-0.006074868663828658,0.009553771587532579,0.662630746922551,estimated_exploratory
3,convergence,volume_percentile,196,1.0,adequate_descriptive_sample,0.00379557539589328,0.004306323751952971,-0.004644664063703939,0.0122358148554905,0.37810366437244913,estimated_exploratory
3,convergence,abnormal_volume_ratio,196,1.0,adequate_descriptive_sample,0.00039506913875886004,0.002855043568914542,-0.005200713430606342,0.005990851708124062,0.889943366209029,estimated_exploratory
3,convergence,semiconductor_volatility,196,1.0,adequate_descriptive_sample,0.006469797819580999,0.003836711533839428,-0.0010500186058137089,0.013989614244975707,0.0917404816947768,estimated_exploratory
3,convergence,market_volatility,0,0.0,small_sample_descriptive_only,,,,,,insufficient_data
3,convergence,trailing_semiconductor_return,196,1.0,adequate_descriptive_sample,-0.006224398781100416,0.003159876601534737,-0.012417643115699324,-3.115444650150789e-05,0.04885861703477967,estimated_exploratory
3,convergence,bear_regime,196,1.0,adequate_descriptive_sample,0.0067775772885474315,0.003631136140898466,-0.00033931877057532134,0.013894473347670185,0.061969069718026695,estimated_exploratory
3,convergence,negative_event,196,1.0,adequate_descriptive_sample,-0.0035024180214158753,0.003371604823158048,-0.010110642044907189,0.003105806002075437,0.29889846071647297,estimated_exploratory
3,convergence,peer_count,196,1.0,adequate_descriptive_sample,0.0006726859089992379,0.0036634499675099164,-0.006507544086484629,0.007852915904483105,0.8543108813065987,estimated_exploratory
